Title,Date,Member,StartTime,EndTime,Revenue
乃琳 来给晚晚挑礼物！,2021/06/09,乃琳,2021-06-09 19:50:27,2021-06-09 21:51:27,65064.2
嘉然 晚比喜欢什么？,2021/06/10,嘉然,2021-06-10 21:00:44,2021-06-10 22:12:20,37867.0
贝拉 来给晚晚挑礼物！！,2021/06/10,贝拉,,,
今天，是向晚的生日趴！,2021/06/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 十四期 假如我有时光机,2021/06/13,"乃琳, 向晚, 嘉然, 贝拉",,,
嘉然 来送BML周边啦！,2021/06/14,嘉然,2021-06-14 19:40:11,2021-06-14 21:25:19,61424.2
向晚 A-SOUL gamer的含金量,2021/06/16,向晚,,,
乃琳 穿什么好呢~,2021/06/16,乃琳,2021-06-16 18:40:27,2021-06-16 19:45:54,42557.9
嘉然 咕咕咕咕咕咕嘎！,2021/06/17,嘉然,2021-06-17 19:51:24,2021-06-17 21:35:51,45016.5
贝拉 电话突击队友！,2021/06/17,贝拉,,,
贝拉的舞蹈教室又又又来啦！,2021/06/18,"乃琳, 嘉然, 贝拉",,,
A-SOUL夜谈 十五期 夜谈策划会,2021/06/19,"乃琳, 向晚, 嘉然, 贝拉",2021-06-19 19:50:14,2021-06-19 22:05:34,18514.0
A-SOUL游戏室 十一期 嘉然 乃琳 贝拉 A-SOUL搬家队！开工大吉！,2021/06/20,"乃琳, 嘉然, 贝拉",2021-06-20 19:49:43,2021-06-20 22:07:19,38102.3
向晚 来自A-SOUL星球的水母！！请接收！,2021/06/23,向晚,,,
乃琳 且歌且谣 重温仙侠梦~,2021/06/23,乃琳,2021-06-23 18:40:14,2021-06-23 19:44:42,21492.9
饭缸·毕嘉然·哒哒哒的画室！,2021/06/24,嘉然,2021-06-24 19:50:49,2021-06-24 21:38:23,28871.2
贝拉 舞蹈练习室直拍公开！,2021/06/24,贝拉,,,
团播 夏日泳装发布！,2021/06/25,"乃琳, 向晚, 嘉然, 贝拉",2021-06-25 19:50:13,2021-06-25 22:35:15,89393.5
A-SOUL夜谈 十六期 枝江学园志愿表,2021/06/26,"乃琳, 向晚, 嘉然, 贝拉",2021-06-26 19:50:39,2021-06-26 22:09:47,24364.2
乃琳 贝拉 夏↓日↓派↑↑↑对↗→↓,2021/06/30,"乃琳, 贝拉",2021-06-30 18:40:09,2021-06-30 19:48:14,33253.9
嘉然 向晚 快↓乐↑跟↗我↘走→,2021/06/30,"向晚, 嘉然",,,
A-SOUL小剧场 二十三期 海边集训之解放天性,2021/07/02,"乃琳, 向晚, 嘉然, 贝拉",,,
A-SOUL夜谈 十七期 思念是一种？,2021/07/03,"乃琳, 嘉然, 贝拉",,,
A-SOUL游戏室 十二期 好姐妹！来闯关！,2021/07/04,"乃琳, 向晚, 嘉然",2021-07-04 19:50:43,2021-07-04 22:11:03,20451.5
BW特别互动直播 第一日,2021/07/09,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
BW特别互动直播 第二日,2021/07/10,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-07-10 14:50:12,2021-07-10 17:04:38,14147.7
BW特别互动直播 第三日,2021/07/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-07-11 14:20:10,2021-07-11 16:36:03,34916.4
